"filename", "language", "HTML", "TypeScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\PC\Documents\GitHub\riide\src\app\about\about.component.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"c:\Users\PC\Documents\GitHub\riide\src\app\about\about.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\Documents\GitHub\riide\src\app\about\about.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\about\about.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\PC\Documents\GitHub\riide\src\app\admin-nav\admin-nav.component.html", "HTML", 23, 0, 0, 0, 0, 0, 23
"c:\Users\PC\Documents\GitHub\riide\src\app\admin-nav\admin-nav.component.scss", "SCSS", 0, 0, 11, 0, 0, 0, 11
"c:\Users\PC\Documents\GitHub\riide\src\app\admin-nav\admin-nav.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\admin-nav\admin-nav.component.ts", "TypeScript", 0, 15, 0, 0, 0, 5, 20
"c:\Users\PC\Documents\GitHub\riide\src\app\app-routing.module.ts", "TypeScript", 0, 17, 0, 0, 0, 3, 20
"c:\Users\PC\Documents\GitHub\riide\src\app\app.component.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\Users\PC\Documents\GitHub\riide\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\Documents\GitHub\riide\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 5, 36
"c:\Users\PC\Documents\GitHub\riide\src\app\app.component.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"c:\Users\PC\Documents\GitHub\riide\src\app\app.module.ts", "TypeScript", 0, 43, 0, 0, 1, 4, 48
"c:\Users\PC\Documents\GitHub\riide\src\app\components\admin\admin.component.html", "HTML", 39, 0, 0, 0, 19, 0, 58
"c:\Users\PC\Documents\GitHub\riide\src\app\components\admin\admin.component.scss", "SCSS", 0, 0, 23, 0, 0, 0, 23
"c:\Users\PC\Documents\GitHub\riide\src\app\components\admin\admin.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\components\admin\admin.component.ts", "TypeScript", 0, 43, 0, 0, 2, 7, 52
"c:\Users\PC\Documents\GitHub\riide\src\app\components\contact\contact.component.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"c:\Users\PC\Documents\GitHub\riide\src\app\components\contact\contact.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\Documents\GitHub\riide\src\app\components\contact\contact.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\components\contact\contact.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\PC\Documents\GitHub\riide\src\app\components\footer\footer.component.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"c:\Users\PC\Documents\GitHub\riide\src\app\components\footer\footer.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\Documents\GitHub\riide\src\app\components\footer\footer.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\components\footer\footer.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\PC\Documents\GitHub\riide\src\app\components\home\home.component.html", "HTML", 429, 0, 0, 0, 11, 6, 446
"c:\Users\PC\Documents\GitHub\riide\src\app\components\home\home.component.scss", "SCSS", 0, 0, 119, 0, 0, 0, 119
"c:\Users\PC\Documents\GitHub\riide\src\app\components\home\home.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\components\home\home.component.ts", "TypeScript", 0, 235, 0, 0, 30, 6, 271
"c:\Users\PC\Documents\GitHub\riide\src\app\components\inventory\inventory.component.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"c:\Users\PC\Documents\GitHub\riide\src\app\components\inventory\inventory.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\Documents\GitHub\riide\src\app\components\inventory\inventory.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\components\inventory\inventory.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\PC\Documents\GitHub\riide\src\app\components\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 37, 0, 37
"c:\Users\PC\Documents\GitHub\riide\src\app\components\navbar\navbar.component.scss", "SCSS", 0, 0, 11, 0, 0, 0, 11
"c:\Users\PC\Documents\GitHub\riide\src\app\components\navbar\navbar.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\components\navbar\navbar.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\PC\Documents\GitHub\riide\src\app\components\reservations\reservations.component.html", "HTML", 96, 0, 0, 0, 0, 0, 96
"c:\Users\PC\Documents\GitHub\riide\src\app\components\reservations\reservations.component.scss", "SCSS", 0, 0, 3, 0, 0, 0, 3
"c:\Users\PC\Documents\GitHub\riide\src\app\components\reservations\reservations.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"c:\Users\PC\Documents\GitHub\riide\src\app\components\reservations\reservations.component.ts", "TypeScript", 0, 34, 0, 0, 1, 4, 39
"c:\Users\PC\Documents\GitHub\riide\src\app\models\reservation.model.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\PC\Documents\GitHub\riide\src\app\models\reservation.model.ts", "TypeScript", 0, 24, 0, 0, 0, 1, 25
"c:\Users\PC\Documents\GitHub\riide\src\app\services\authentication.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 5, 17
"c:\Users\PC\Documents\GitHub\riide\src\app\services\authentication.service.ts", "TypeScript", 0, 33, 0, 0, 0, 5, 38
"c:\Users\PC\Documents\GitHub\riide\src\app\services\reservation.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 5, 17
"c:\Users\PC\Documents\GitHub\riide\src\app\services\reservation.service.ts", "TypeScript", 0, 26, 0, 0, 0, 10, 36
"c:\Users\PC\Documents\GitHub\riide\src\assets\lang.json", "JSON", 0, 0, 0, 58, 0, 4, 62
"c:\Users\PC\Documents\GitHub\riide\src\environments\environment.prod.ts", "TypeScript", 0, 11, 0, 0, 0, 1, 12
"c:\Users\PC\Documents\GitHub\riide\src\environments\environment.ts", "TypeScript", 0, 11, 0, 0, 11, 3, 25
"c:\Users\PC\Documents\GitHub\riide\src\index.html", "HTML", 14, 0, 0, 0, 0, 2, 16
"c:\Users\PC\Documents\GitHub\riide\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 4, 13
"c:\Users\PC\Documents\GitHub\riide\src\polyfills.ts", "TypeScript", 0, 1, 0, 0, 57, 8, 66
"c:\Users\PC\Documents\GitHub\riide\src\styles.scss", "SCSS", 0, 0, 118, 0, 4, 1, 123
"c:\Users\PC\Documents\GitHub\riide\src\test.ts", "TypeScript", 0, 19, 0, 0, 4, 5, 28
"Total", "-", 606, 826, 285, 58, 177, 186, 2138